REP_AGEN,Longitude,Latitude,OBJECTID,MSRI_CODE,MSRI_DESCR,COMMENT,Date,TOWN_ID,ROUTE_DES,ROUTE,BEGIN_MM,END_MM,LRS_CODE,TOWN,LOCATION
FW,-71.59125782,45.00773051,1660,Bear,NULL,NULL,5/27/97,-9999,NULL,-9999,-9999,-9999,NULL,Dover,Rte 100 1/10 mi N of Amheek Rd
FW,-71.59194853,45.0072877,1134,Moose,NULL,NULL,2/1/01,-9999,NULL,-9999,-9999,-9999,NULL,MORGAN,RTE 111 2 MI E. MORGAN (SEYMOUR LAKE)
FW,-71.59239275,45.00694289,1653,Bear,NULL,NULL,4/19/95,-9999,NULL,-9999,-9999,-9999,NULL,Searsburg,"Rte 9, by truck escape ramp"
FW,-71.59398105,44.50937409,2584,Moose,NULL,NULL,9/3/89,-9999,NULL,-9999,-9999,-9999,NULL,AVERILL,RT 114 OLD FIELDS FLAT
FW,-71.59433484,45.00660961,1676,Bear,NULL,NULL,4/15/94,-9999,NULL,-9999,-9999,-9999,NULL,Sunderland,"1 mi S of Manchester t/l, Rte 7"
FW,-71.59645273,44.49675292,1182,Moose,NULL,NULL,10/7/01,-9999,NULL,-9999,-9999,-9999,NULL,MENDON,RTE 4 .1 MI W OF MENDON BEAVER POND
FW,-71.59785538,44.49258242,1786,Bear,NULL,NULL,10/20/78,-9999,NULL,-9999,-9999,-9999,NULL,Sharon,"I-89 S, Mitchell Brook area, vic mm9"
FW,-71.59865958,44.4918447,1740,Bear,NULL,NULL,9/20/98,-9999,NULL,-9999,-9999,-9999,NULL,Marlboro,Rte 9 0.5 mi E of Hogback Ski Area
FW,-71.59918552,44.49141868,2573,Moose,NULL,NULL,4/30/98,-9999,NULL,-9999,-9999,-9999,NULL,WILLISTON,I-89 MM 85
FW,-71.59934092,44.55365236,1742,Bear,NULL,NULL,10/15/99,-9999,NULL,-9999,-9999,-9999,NULL,Andover,"Rte 11, 40 ft E of Windham t.l."
FW,-71.60197039,44.77376856,2526,Moose,NULL,NULL,7/2/91,-9999,NULL,-9999,-9999,-9999,NULL,WHEELOCK,I 91 MM 146
FW,-71.60605575,45.00754145,1677,Bear,NULL,NULL,6/4/94,-9999,NULL,-9999,-9999,-9999,NULL,Marlboro,int. of Rte 9 and McArthur Rd
FW,-71.60653569,45.00744721,1674,Bear,NULL,NULL,8/6/93,-9999,NULL,-9999,-9999,-9999,NULL,Warren Gore,"0.5 mi N of Summit area, Rte 114"
FW,-71.60892681,44.48722567,1739,Bear,NULL,NULL,7/21/98,-9999,NULL,-9999,-9999,-9999,NULL,Ludlow,"Rte 103, 100 yds S of Fox Lane"
FW,-71.61033299,44.48728847,1753,Bear,NULL,NULL,10/1/99,-9999,NULL,-9999,-9999,-9999,NULL,Waterbury,"I-89 n.b., mm 67"
FW,-71.61113203,45.00851621,1656,Bear,NULL,NULL,5/15/97,-9999,NULL,-9999,-9999,-9999,NULL,Rockingham,"Rte 103, 1/2 mi N of VSP office"
AOT,-71.61270111,44.76436578,478,Lg Bird,"Large Bird (hawk, owl, turkey, waterfowl)",found a dead turkey beside road been chewed on by dogs,1/27/04,503,VT 102,102,1.6,1.6,V102-0503,BLOOMFIELD,NULL
FW,-71.61285155,44.48713347,2760,Moose,NULL,NULL,10/14/00,-9999,NULL,-9999,-9999,-9999,NULL,LUNENBURG,"RT 2, 0.2 MI. EAST OF DANCE HALL RD"
FW,-71.61881717,44.48578825,1771,Bear,NULL,NULL,11/30/92,-9999,NULL,-9999,-9999,-9999,NULL,Bennington,NULL
FW,-71.62098103,44.68717485,2312,Moose,NULL,NULL,5/3/00,-9999,NULL,-9999,-9999,-9999,NULL,ADDISON,RT 22A 1/2 MI. NO. 17 & 22A JCT
FW,-71.6214165,44.48447591,1780,Bear,NULL,NULL,8/11/94,-9999,NULL,-9999,-9999,-9999,NULL,Stratton,"Stratton-W Waardsboro Rd, 1/4 mi S of Stratton"
FW,-71.62410885,44.80132277,1306,Moose,NULL,NULL,8/25/01,-9999,NULL,-9999,-9999,-9999,NULL,BRATTLEBORO,RTE 5 AND I-91
FW,-71.62549069,44.55911372,2387,Moose,NULL,NULL,6/25/92,-9999,NULL,-9999,-9999,-9999,NULL,BURKE,RT 114 .5M NE ST AID HWY 5
FW,-71.62594985,45.01049006,1670,Bear,NULL,NULL,6/11/90,-9999,NULL,-9999,-9999,-9999,NULL,Sherburne,Jct. Rte 4 and Rte 100 N
FW,-71.62637433,44.48442062,2407,Moose,NULL,NULL,4/15/98,-9999,NULL,-9999,-9999,-9999,NULL,LYNDON,I 91 South at Exit 24 off ramp
FW,-71.6307133,44.72427481,1621,Moose,NULL,NULL,11/17/02,-9999,NULL,-9999,-9999,-9999,NULL,WINDHAM,Jct. Rte 121 and town Rd #1
FW,-71.63162682,44.74163573,1622,Moose,NULL,NULL,5/3/00,-9999,NULL,-9999,-9999,-9999,NULL,WINHALL,RT 11 + 30 1 MILE NORTH OF JCT 30 & 11
FW,-71.63228413,44.4848,2404,Moose,NULL,NULL,5/12/95,-9999,NULL,-9999,-9999,-9999,NULL,LYNDON,I 91 North of mile marker 138/90.
FW,-71.63300163,44.48435404,1788,Bear,NULL,NULL,8/12/80,-9999,NULL,-9999,-9999,-9999,NULL,Ryegate,"I-91 S, mm114"
FW,-71.63368017,44.48380464,1205,Moose,NULL,NULL,7/24/00,-9999,NULL,-9999,-9999,-9999,NULL,WALLINGFORD,2 MILES SOUTH OF VILLAGE - NEAR HAGER FARM
FW,-71.6355148,44.75511456,1600,Moose,NULL,NULL,6/2/99,-9999,NULL,-9999,-9999,-9999,NULL,WAITSFIELD,East Warren Rd/Jct Joults?? Rd
AOT,-71.63552651,44.7551339,150,Deer,Deer,dead deer side road,1/28/04,503,VT 105,105,4,4,V105-0503,BLOOMFIELD,NULL
AOT,-71.63552651,44.7551339,842,Deer RK UN,"Deer, RoadKill, Unknown",NULL,3/17/04,503,VT 105,105,4,4,V105-0503,BLOOMFIELD,NULL
FW,-71.63568822,45.00761191,1133,Moose,NULL,NULL,5/1/01,-9999,NULL,-9999,-9999,-9999,NULL,MORGAN,"0.5 MI S OF RTE 111, GORE RD"
FW,-71.63644731,44.48198728,1787,Bear,NULL,NULL,7/13/76,-9999,NULL,-9999,-9999,-9999,NULL,Walden,"Rte 15, 1/4 mi S of South Walden School"
FW,-71.63703501,45.00700227,1127,Moose,NULL,NULL,7/25/94,-9999,NULL,-9999,-9999,-9999,NULL,LOWELL,.0.8 MILES WEST OF IRASBURG LINE ON RT 58
AOT,-71.63995655,44.47965608,419,Bear,Bear,SMALL BEAR CUB WAS KILLED BY A CAR.,8/10/04,514,US 2,2,7.4,7.4,U002-0514,LUNENBURG,NULL
FW,-71.64138991,44.47878141,1757,Bear,NULL,NULL,9/23/79,-9999,NULL,-9999,-9999,-9999,NULL,Readsboro,NULL
FW,-71.64185228,44.75951176,1593,Moose,NULL,NULL,12/5/99,-9999,NULL,-9999,-9999,-9999,NULL,STOWE,COTTAGE CLUB ROAD BY GOLF COURSE
FW,-71.64407971,44.77007343,1105,Moose,NULL,NULL,10/7/98,-9999,NULL,-9999,-9999,-9999,NULL,COVENTRY,I-91 165/55N
FW,-71.64421918,45.0062011,1132,Moose,NULL,NULL,5/6/00,-9999,NULL,-9999,-9999,-9999,NULL,MORGAN,"RT 114, JUST S. OF UNDERPASS"
FW,-71.64621111,44.47601116,1789,Bear,NULL,NULL,9/1/80,-9999,NULL,-9999,-9999,-9999,NULL,Orange,"Rte 302, Orange Hgts."
FW,-71.64679653,44.47560057,1758,Bear,NULL,NULL,8/25/73,-9999,NULL,-9999,-9999,-9999,NULL,Eden,"Mine Rd, Lowell/ Eden t.l."
FW,-71.64702218,44.47549463,2523,Moose,NULL,NULL,7/30/97,-9999,NULL,-9999,-9999,-9999,NULL,WATERFORD,I-93 South 04/95 Waterford
FW,-71.64770358,44.7753465,1591,Moose,NULL,NULL,11/1/00,-9999,NULL,-9999,-9999,-9999,NULL,SHERBURNE,"RT 4, 50 YDS S PF COTTON RD ACCESS AREA"
FW,-71.64811853,44.47381379,1756,Bear,NULL,NULL,7/1/73,-9999,NULL,-9999,-9999,-9999,NULL,Readsboro,"Rte 100, 0.8 mi N of Rte 100/ 8 int"
FW,-71.64831879,44.472161,1749,Bear,NULL,NULL,12/16/98,-9999,NULL,-9999,-9999,-9999,NULL,Sharon,"I 89 n.b., mm 12/80"
FW,-71.64852165,44.77545654,1305,Moose,NULL,NULL,5/18/01,-9999,NULL,-9999,-9999,-9999,NULL,BRATTLEBORO,"I-91, EXIT 1"
FW,-71.64879718,44.77544924,1592,Moose,NULL,NULL,5/4/94,-9999,NULL,-9999,-9999,-9999,NULL,ST. JOHNSBUR,SA8 jct. with TR #20
FW,-71.65047392,45.00587913,1667,Bear,NULL,NULL,11/9/93,-9999,NULL,-9999,-9999,-9999,NULL,Londonderry,"Rte 100, just E of Brophy Lane"
FW,-71.65155186,44.46709614,1762,Bear,NULL,NULL,7/27/74,-9999,NULL,-9999,-9999,-9999,NULL,Woodbury,"Rte 14, 0.5 mi E of Greenwood Lake access"
FW,-71.65231443,44.46607226,2814,Moose,NULL,NULL,9/14/91,-9999,NULL,-9999,-9999,-9999,NULL,NORTON,STATION BROOK/RT 114
FW,-71.65306631,44.4635264,2413,Moose,NULL,NULL,5/11/92,-9999,NULL,-9999,-9999,-9999,NULL,NEWARK,Rt. 114 marker T0308 M0400
FW,-71.65342605,44.77639911,1601,Moose,NULL,NULL,5/13/93,-9999,NULL,-9999,-9999,-9999,NULL,WARREN'S GOR,near Norton Pond access road
FW,-71.65342605,44.77639911,1602,Moose,NULL,NULL,7/22/95,-9999,NULL,-9999,-9999,-9999,NULL,WARREN'S GOR,1/2 mi. South intersection Rt. 114/B.Sladyk WMA.
FW,-71.65342605,44.77639911,1603,Moose,NULL,NULL,5/21/88,-9999,NULL,-9999,-9999,-9999,NULL,WARREN GORE,Rt. 114 near Sucker Brook
FW,-71.65428245,44.77701856,1596,Moose,NULL,NULL,12/2/99,-9999,NULL,-9999,-9999,-9999,NULL,TOPSHAM,RT 302 SUBSTATION TOPSHAM
FW,-71.65552637,44.77828807,1597,Moose,NULL,NULL,6/17/94,-9999,NULL,-9999,-9999,-9999,NULL,UNDERHILL,Rt. 15 near firehouse at Underhill Flats
FW,-71.6580067,44.77880736,1595,Moose,NULL,NULL,4/15/97,-9999,NULL,-9999,-9999,-9999,NULL,SUTTON,Rte 5 0.3 mi N jct w/TH 51
FW,-71.6584441,44.7787214,2776,Moose,NULL,NULL,6/14/96,-9999,NULL,-9999,-9999,-9999,NULL,LUNENBURG,Rt 2 3 miles west of village
FW,-71.65953478,44.46462289,2412,Moose,NULL,NULL,6/11/94,-9999,NULL,-9999,-9999,-9999,NULL,NEWARK,5A .25 MILE SOUTH OF WESTMORE LINE
FW,-71.66092759,45.00577014,1125,Moose,NULL,NULL,7/16/00,-9999,NULL,-9999,-9999,-9999,NULL,LOWELL,RT 58 10 YDS W OF IRASBURG LINE
FW,-71.66117229,44.46451397,2403,Moose,NULL,NULL,4/22/99,-9999,NULL,-9999,-9999,-9999,NULL,HARDWICK,CENTER RD BY MONTGOMERY RD INTERSECTION
FW,-71.66130858,45.00572192,1678,Bear,NULL,NULL,6/14/94,-9999,NULL,-9999,-9999,-9999,NULL,Wolcott,N. Wolcott Rd by Sand Hill Rd
FW,-71.66188234,44.7778863,2303,Moose,NULL,NULL,6/1/99,-9999,NULL,-9999,-9999,-9999,NULL,WOODBURY,WOODBURY ELEMENTARY SCHOOL
FW,-71.66300168,44.4644311,2541,Moose,NULL,NULL,9/22/90,-9999,NULL,-9999,-9999,-9999,NULL,COLCHESTER,I 89 EXIT 17
FW,-71.66303138,44.77769909,1590,Moose,NULL,NULL,12/16/98,-9999,NULL,-9999,-9999,-9999,NULL,SHEFFIELD,I-91 N mm 152/50
FW,-71.66330232,44.46441953,2405,Moose,NULL,NULL,10/10/94,-9999,NULL,-9999,-9999,-9999,NULL,LYNDON,I 91 SOUTH 100' SOUTH OF EXIT 24
FW,-71.66456794,44.99952109,1308,Moose,NULL,NULL,6/10/98,-9999,NULL,-9999,-9999,-9999,NULL,DOVER,Rte 100 near Stratton line
FW,-71.66733058,45.00609678,1671,Bear,NULL,NULL,5/9/91,-9999,NULL,-9999,-9999,-9999,NULL,Shaftsbury,"Rte 7, 0.5 mi N of East Rd overpass"
FW,-71.66734742,45.00603796,2326,Moose,NULL,NULL,12/8/97,-9999,NULL,-9999,-9999,-9999,NULL,GRANVILLE,Rt 100 Granville Paddleduck Rd
FW,-71.66762192,44.77808279,1599,Moose,NULL,NULL,6/2/99,-9999,NULL,-9999,-9999,-9999,NULL,WAITSFIELD,East Warren Rd / Jct Joslyn Rd
FW,-71.66781058,45.00606113,1682,Bear,NULL,NULL,9/2/97,-9999,NULL,-9999,-9999,-9999,NULL,Bloomfield,"7.7 mi N of int. 105, Rte 2"
FW,-71.66811898,45.00612889,1679,Bear,NULL,NULL,6/21/94,-9999,NULL,-9999,-9999,-9999,NULL,Barton,"I 91-NB, 1 mi S of Orleans exit"
FW,-71.66821633,45.00615929,1131,Moose,NULL,NULL,11/24/86,-9999,NULL,-9999,-9999,-9999,NULL,LOWELL,RT 100 1 MI S OF VILLAGE
FW,-71.66877659,44.77856716,1307,Moose,NULL,NULL,5/13/99,-9999,NULL,-9999,-9999,-9999,NULL,BRATTLEBORO,Rt 30 By Professional Center
FW,-71.66892699,45.00632158,1129,Moose,NULL,NULL,11/1/01,-9999,NULL,-9999,-9999,-9999,NULL,LOWELL,RTE 100 S. OF LOWELL VILLAGE
FW,-71.67041396,44.46418793,1783,Bear,NULL,NULL,8/23/93,-9999,NULL,-9999,-9999,-9999,NULL,Bradford,"I-90, Just N of Rte 25 @ underpass, mm 98/10"
FW,-71.67137218,44.77949186,1605,Moose,NULL,NULL,6/25/93,-9999,NULL,-9999,-9999,-9999,NULL,WARREN GORE,N. end of Norton Pd. Near town line post
FW,-71.67250366,45.00582986,1666,Bear,NULL,NULL,8/30/93,-9999,NULL,-9999,-9999,-9999,NULL,Newbury,"I-91, mm106"
FW,-71.67339497,45.00579718,1654,Bear,NULL,NULL,7/28/99,-9999,NULL,-9999,-9999,-9999,NULL,Londonderry,Rte 11 by Snowdon Motel
FW,-71.67386557,45.00575289,1663,Bear,NULL,NULL,11/29/00,-9999,NULL,-9999,-9999,-9999,NULL,Sunderland,"Rte 7 SB, mm 0070/0215/0580"
FW,-71.67395653,44.44522072,1208,Moose,NULL,NULL,5/17/01,-9999,NULL,-9999,-9999,-9999,NULL,BERLIN,I-89 NB AT EXIT 7
FW,-71.67455764,44.77968141,1598,Moose,NULL,NULL,6/9/01,-9999,NULL,-9999,-9999,-9999,NULL,VICTORY,DAMON CROSSING
FW,-71.67461357,45.00580599,1658,Bear,NULL,NULL,9/1/99,-9999,NULL,-9999,-9999,-9999,NULL,Stowe,"Rte 100, Nichols Lodge"
FW,-71.67506097,44.43794134,1747,Bear,NULL,NULL,10/23/99,-9999,NULL,-9999,-9999,-9999,NULL,Sharon,I-89 mm14
FW,-71.67514335,45.00580982,1652,Bear,NULL,NULL,10/13/86,-9999,NULL,-9999,-9999,-9999,NULL,Sherburne,Rte 4
FW,-71.67554336,45.00590242,1680,Bear,NULL,NULL,9/10/96,-9999,NULL,-9999,-9999,-9999,NULL,Troy,"Rte 101, 3mi N of Troy"
FW,-71.6760769,45.00600697,1683,Bear,NULL,NULL,10/27/97,-9999,NULL,-9999,-9999,-9999,NULL,Guildhall,0.5 mi N of Lnbg/ Gldhl t/l
FW,-71.67652027,44.44930997,1207,Moose,NULL,NULL,6/13/01,-9999,NULL,-9999,-9999,-9999,NULL,BERLIN,I-89 NB EXIT 7
FW,-71.67662943,45.00600798,1673,Bear,NULL,NULL,11/4/91,-9999,NULL,-9999,-9999,-9999,NULL,Eden,"Rte 100, N of Ober Hill Rd"
FW,-71.67705382,45.00595687,1126,Moose,NULL,NULL,10/18/99,-9999,NULL,-9999,-9999,-9999,NULL,LOWELL,RTE 58 1.0 MI E OF LOWELL
FW,-71.67719222,44.77863566,1594,Moose,NULL,NULL,6/26/99,-9999,NULL,-9999,-9999,-9999,NULL,SUTTON,"Rt 5, 2/10 mi S of pumping Station"
FW,-71.67735276,45.00596856,1661,Bear,NULL,NULL,8/5/97,-9999,NULL,-9999,-9999,-9999,NULL,East Montpel,jct County Rd & Templeton Rd
FW,-71.67792045,45.00607083,1659,Bear,NULL,NULL,5/8/96,-9999,NULL,-9999,-9999,-9999,NULL,Manchester,"50 yds S mm 070/0206/160, west side"
FW,-71.6782911,45.00607052,1655,Bear,NULL,NULL,5/4/96,-9999,NULL,-9999,-9999,-9999,NULL,Barnard,"Rte 12, 1/2 mi S of Barnard Inn"
FW,-71.67845563,45.00608782,2325,Moose,NULL,NULL,7/26/97,-9999,NULL,-9999,-9999,-9999,NULL,GRANVILLE,Rt. 100 Granville Gulf
FW,-71.67856541,45.00603947,1130,Moose,NULL,NULL,6/28/95,-9999,NULL,-9999,-9999,-9999,NULL,LOWELL,Rt. 100 - 3 mi. S of Jct. 100 and 58.
FW,-71.67864302,45.00601411,1675,Bear,NULL,NULL,8/15/93,-9999,NULL,-9999,-9999,-9999,NULL,Brownington,0.5 mi west of 5A on VT Rte 58
FW,-71.67979601,44.42935534,2425,Moose,NULL,NULL,10/11/93,-9999,NULL,-9999,-9999,-9999,NULL,NEWARK,RT 114 3 miles north of E. Haven
AOT,-71.68009544,44.46330012,653,Deer RK AD,"Deer, RoadKill, Adult Doe",Deer was hit by a car and killed.,10/28/04,514,US 2,2,4.8,4.8,U002-0514,LUNENBURG,NULL
FW,-71.68244409,44.46331128,1206,Moose,NULL,NULL,6/29/01,-9999,NULL,-9999,-9999,-9999,NULL,BARRE TOWN,"RTE 302, 3/4 MI W OF JCT W/ RTE 110"
FW,-71.68453646,44.46324471,1772,Bear,NULL,NULL,8/1/92,-9999,NULL,-9999,-9999,-9999,NULL,Stamford,Rte 100
FW,-71.68456558,45.00592527,1651,Bear,NULL,NULL,8/28/86,-9999,NULL,-9999,-9999,-9999,NULL,Lunenburg,"Rt 2, .1 mi E of TH 58"
FW,-71.68813642,45.00493665,2328,Moose,NULL,NULL,6/22/98,-9999,NULL,-9999,-9999,-9999,NULL,GRANVILLE,3 Mi N of Granville--Rt 100
FW,-71.68845894,44.93676035,1094,Moose,NULL,NULL,10/25/93,-9999,NULL,-9999,-9999,-9999,NULL,CHARLESTON,rt 105 2.2 miles east of 5A
FW,-71.68914434,44.46253613,1781,Bear,NULL,NULL,9/30/94,-9999,NULL,-9999,-9999,-9999,NULL,Topsham,"Rte 302, 2 mi E of jct w/ Rte 25"
FW,-71.69021727,45.00442537,2327,Moose,NULL,NULL,5/1/98,-9999,NULL,-9999,-9999,-9999,NULL,GRANVILLE,Rt 100 Granville Gulf
FW,-71.6905571,44.77924051,1117,Moose,NULL,NULL,6/22/96,-9999,NULL,-9999,-9999,-9999,NULL,WHEELOCK,Route 16 1 mile South of Horse Pond
FW,-71.69072698,44.77906345,1114,Moose,NULL,NULL,10/13/93,-9999,NULL,-9999,-9999,-9999,NULL,GLOVER,Rt 16 .5 miles south of Runaway Pond
FW,-71.6907718,44.9414633,1589,Moose,NULL,NULL,7/17/96,-9999,NULL,-9999,-9999,-9999,NULL,SHEFFIELD,I-91 North mile marker 152/70
FW,-71.69182544,45.00394291,1668,Bear,NULL,NULL,11/20/93,-9999,NULL,-9999,-9999,-9999,NULL,Guilford,"I-91, mile 1 north lane"
FW,-71.69205241,44.77762013,1645,Bear,NULL,NULL,8/17/80,-9999,NULL,-9999,-9999,-9999,NULL,Concord,N. side Rt 2 between TH 67 & Hwy 2
FW,-71.69205931,44.77762386,1630,Moose,NULL,NULL,6/10/03,-9999,NULL,-9999,-9999,-9999,NULL,WOODFORD,"GPS 18T0661470 4750241   Vt Rt 9, Red Mill Pond Rd"
FW,-71.69238336,44.77743538,1626,Moose,NULL,NULL,11/13/97,-9999,NULL,-9999,-9999,-9999,NULL,WOODBURY,Rt 14 Greenwood Lake
FW,-71.69238336,44.77743538,1641,Bear,NULL,NULL,10/8/85,-9999,NULL,-9999,-9999,-9999,NULL,Glover,"I 91, .5 mi south Barton exit"
FW,-71.69238336,44.77743538,1642,Bear,NULL,NULL,11/1/87,-9999,NULL,-9999,-9999,-9999,NULL,Dorset,"Dorset W. Rd, 1 mi. SE Jct Rt 315"
FW,-71.69254684,44.77724566,1629,Moose,NULL,NULL,12/12/00,-9999,NULL,-9999,-9999,-9999,NULL,WOODFORD,RTE 9 & WOODFORD ST PARK ENTRANCE
FW,-71.69286641,44.7769973,1604,Moose,NULL,NULL,5/26/92,-9999,NULL,-9999,-9999,-9999,NULL,WARREN GORE,Rt. 114 at midpoint of Norton Pond
FW,-71.69317367,45.00354301,1095,Moose,NULL,NULL,11/24/93,-9999,NULL,-9999,-9999,-9999,NULL,CHARLESTON,rt 105 .3 miles north of th 28
FW,-71.69357424,44.77681224,1632,Moose,NULL,NULL,6/8/98,-9999,NULL,-9999,-9999,-9999,NULL,WORCESTER,Rt 12 4.8 mi N of village
FW,-71.6937614,45.00327495,1587,Moose,NULL,NULL,7/23/02,-9999,NULL,-9999,-9999,-9999,NULL,SHEFFIELD,Rte 122
FW,-71.69388339,44.77668574,1647,Bear,NULL,NULL,6/26/83,-9999,NULL,-9999,-9999,-9999,NULL,Norton,"mm 1140-0516-0700, across from landfill"
FW,-71.69395891,45.00320094,1576,Moose,NULL,NULL,10/19/97,-9999,NULL,-9999,-9999,-9999,NULL,READSBORO,Rt 100 near Stamford Town lin
FW,-71.69451677,44.77636589,1640,Bear,NULL,NULL,8/10/94,-9999,NULL,-9999,-9999,-9999,NULL,Sunderland,RT7-S.ARLINGTON EXIT
FW,-71.69526244,45.00291164,1582,Moose,NULL,NULL,7/18/92,-9999,NULL,-9999,-9999,-9999,NULL,ROCHESTER,Rt. 73 at Mount Horrid
FW,-71.69551169,44.77623143,1634,Bear,NULL,NULL,11/30/90,-9999,NULL,-9999,-9999,-9999,NULL,Waterford,I-93 Hurlburt Hill
FW,-71.69569728,45.0028456,1581,Moose,NULL,NULL,6/19/95,-9999,NULL,-9999,-9999,-9999,NULL,ROCHESTER,Rt. 73 Mt. Horrin
FW,-71.69602676,45.00281282,1584,Moose,NULL,NULL,7/7/99,-9999,NULL,-9999,-9999,-9999,NULL,RUTLAND,GROVE STREET 0.4 MILE S OF CEDAR AVE
FW,-71.69614161,44.77605976,1116,Moose,NULL,NULL,1/19/96,-9999,NULL,-9999,-9999,-9999,NULL,GLOVER,Rte. 16 near Tildy's Pond Access
FW,-71.69617393,45.00283743,1585,Moose,NULL,NULL,5/11/97,-9999,NULL,-9999,-9999,-9999,NULL,SEARSBURG,Rt 9 base of Searsburg mtn
FW,-71.69632611,45.00278478,1583,Moose,NULL,NULL,5/15/00,-9999,NULL,-9999,-9999,-9999,NULL,ROXBURY,RT 12A JUST N. ROXBURY VILLAGE
FW,-71.69662355,45.00273927,2288,Moose,NULL,NULL,5/25/99,-9999,NULL,-9999,-9999,-9999,NULL,WHEELOCK,Smith Camp TR 31 Tampico
FW,-71.69700084,45.00268839,1578,Moose,NULL,NULL,8/18/98,-9999,NULL,-9999,-9999,-9999,NULL,RICHMOND,Hinesburg/Richmond Rd -- 2 mi N of T/L
